Timestamp,ID,X,Y,Z,Distance
1776068786.67372,4294967295,0.32209259271621704,0.2880783677101135,0.9975659251213074,1.0871387028288102
1776068786.8728542,0,0.1869402825832367,0.2861398458480835,1.0007330179214478,1.0574919639375204
1776068787.0317411,0,0.16471189260482788,0.28732168674468994,1.0150225162506104,1.0676865025535345
1776068787.1868005,0,0.13363349437713623,0.28715622425079346,1.0258187055587769,1.0736017066955978
1776068787.3390937,0,0.1123274490237236,0.28694799542427063,1.0332553386688232,1.0782268790796345
1776068787.4947796,0,0.17815808951854706,0.24997983872890472,1.0346063375473022,1.0791851084614124
1776068787.650103,0,0.18146127462387085,0.2466343492269516,1.0332672595977783,1.0776817369536447
1776068787.805769,0,0.19334034621715546,0.2460089772939682,1.0296082496643066,1.0761013215127053
1776068787.9590688,0,0.20460659265518188,0.2444886714220047,1.0187344551086426,1.0674541949129075
1776068788.1138108,0,0.19950848817825317,0.24109885096549988,0.999891996383667,1.047719569934709
1776068788.2684264,0,0.19931310415267944,0.2417110800743103,0.9968456625938416,1.0449168554243067
1776068788.4220538,0,0.19065403938293457,0.24090145528316498,0.9954333305358887,1.04176292381345
1776068788.574454,0,0.18335473537445068,0.23836930096149445,0.9834510087966919,1.0284039913031928
1776068788.7286854,0,0.17519991099834442,0.24200432002544403,1.0010690689086914,1.04470109622347
1776068788.8826401,0,0.1669771671295166,0.24369964003562927,1.0104706287384033,1.0527686262608122
1776068789.0368369,0,0.15670713782310486,0.24734774231910706,1.0214122533798218,1.0625540099352664
1776068789.1905582,0,0.15375205874443054,0.2536352872848511,1.040473461151123,1.0819221681267175
1776068789.3444831,0,0.13781657814979553,0.25143206119537354,1.028132677078247,1.0673651166709337
1776068789.499994,0,0.1328589916229248,0.2541598379611969,1.0333459377288818,1.0724050363124487
1776068789.6553323,0,0.13059696555137634,0.25791582465171814,1.0550785064697266,1.0939683701238314
1776068789.8104277,0,0.14376506209373474,0.2637866735458374,1.0977568626403809,1.138122107549645
1776068789.9663982,0,0.1806490421295166,0.2697383761405945,1.1486876010894775,1.1936817301450062
1776068790.1213894,0,0.21503853797912598,0.2764660120010376,1.204772710800171,1.2546522678801286
1776068790.2756546,0,0.2562476396560669,0.28506290912628174,1.2786529064178467,1.334869645351055
1776068790.430707,0,0.2704399824142456,0.29238659143447876,1.3255544900894165,1.3840962427284829
1776068790.5867233,0,0.27213528752326965,0.3030555248260498,1.3650071620941162,1.424480543359999
1776068790.741485,0,0.24635155498981476,0.30857837200164795,1.4206933975219727,1.474543804054533
1776068790.8961477,0,0.21155734360218048,0.31463950872421265,1.453751802444458,1.5023810545905907
1776068791.0505993,0,0.17754597961902618,0.32414710521698,1.4966546297073364,1.5416124679451162
1776068791.2043927,0,0.14493218064308167,0.3357987105846405,1.545743465423584,1.5884234233717334
1776068791.360386,0,0.13737386465072632,0.3456912636756897,1.5755326747894287,1.6188505915617732
1776068791.5153818,0,0.1458374708890915,0.3544776439666748,1.5829596519470215,1.628706304918025
1776068791.6691546,0,0.15978185832500458,0.36370348930358887,1.5924737453460693,1.6412748398723278
1776068791.823926,0,0.17300274968147278,0.36911851167678833,1.5908892154693604,1.6422871012574367
1776068791.979348,0,0.1803869903087616,0.3715009391307831,1.5861904621124268,1.6390706501381023
1776068792.1349602,0,0.1876034140586853,0.3691129684448242,1.5623962879180908,1.61632966468504
1776068792.2885566,0,0.19200335443019867,0.35482197999954224,1.5339821577072144,1.5861479079100174
1776068792.443397,0,0.20461469888687134,0.36664092540740967,1.5497264862060547,1.6055979961474578
1776068792.598647,0,0.2107967734336853,0.3749392628669739,1.5405590534210205,1.5994802054438664
1776068792.7535431,0,0.2069704234600067,0.37726396322250366,1.5350902080535889,1.5942605812713226
1776068792.9108443,0,0.2017766535282135,0.38104188442230225,1.5424630641937256,1.6015926573242776
1776068793.0656614,0,0.19309580326080322,0.3872145116329193,1.5455431938171387,1.6049687944662776
1776068793.2209795,0,0.1845489740371704,0.3855392038822174,1.5474085807800293,1.6053573176772735
1776068793.3767648,0,0.1728731095790863,0.3860633373260498,1.5455348491668701,1.602375730729884
1776068793.5318797,0,0.15767715871334076,0.38570111989974976,1.5483514070510864,1.6034399022067873
1776068793.6867218,0,0.1483791470527649,0.38527029752731323,1.5488879680633545,1.6029670960591542
1776068793.8404982,0,0.13713347911834717,0.3829219341278076,1.5508664846420288,1.6033158303706752
1776068793.9940157,0,0.12213383615016937,0.38523510098457336,1.5575921535491943,1.609166266661518
1776068794.1478271,0,0.10404902696609497,0.3836827874183655,1.5598385334014893,1.6097002614331113
1776068794.3022811,0,0.09058016538619995,0.3847774267196655,1.5522997379302979,1.601840476093943
1776068794.4562166,0,0.08096566796302795,0.3793609142303467,1.5237088203430176,1.5723099922806234
1776068794.6096785,0,0.07606031000614166,0.38034042716026306,1.5166176557540894,1.5654306516213712
1776068794.7634552,0,0.09956008195877075,0.39094799757003784,1.5155749320983887,1.5683494258387367
1776068794.9186752,0,0.1283341348171234,0.39595547318458557,1.481170415878296,1.538543528073604
1776068795.0725882,0,0.1773662269115448,0.39908361434936523,1.4141184091567993,1.480019386632198
